POSITION;FUNCTION;PORT
CLK tile[0, 0] clk_side=E Output0;;
CLK tile[0, 0] clk_side=E Output1;;
CLK tile[0, 0] clk_side=E Input0;LOGIC_AS_CLK0;i_lac0
CLK tile[0, 0] clk_side=E Input1;LOGIC_AS_CLK1;
CLK tile[0, 0] clk_side=W Output0;;
CLK tile[0, 0] clk_side=W Output1;;
CLK tile[0, 0] clk_side=W Input0;OSC_CLK;i_clk
CLK tile[0, 0] clk_side=W Input1;PLL_CLK;
CLK tile[0, 0] clk_side=N Output0;REF_BRAM(0..3)_READ_CLK;scan_clk_out
CLK tile[0, 0] clk_side=N Output1;REF_BRAM(0..3)_WRITE_CLK;scan_clk_out
CLK tile[0, 0] clk_side=N Input0;;
CLK tile[0, 0] clk_side=N Input1;;
CLK tile[0, 0] clk_side=S Output0;REF_BRAM(4..7)_READ_CLK;
CLK tile[0, 0] clk_side=S Output1;REF_BRAM(4..7)_WRITE_CLK;
CLK tile[0, 0] clk_side=S Input0;;
CLK tile[0, 0] clk_side=S Input1;;
IOB tile[0, 0] coord[ 0,  0] Output0;BRAM4_WDATA[5];
IOB tile[0, 0] coord[ 0,  0] Output1;BRAM4_WDATA[4];
IOB tile[0, 0] coord[ 0,  0] Input0;BRAM4_RDATA[5];
IOB tile[0, 0] coord[ 0,  0] Input1;BRAM4_RDATA[4];
IOB tile[0, 0] coord[ 0,  1] Output0;BRAM4_WDATA[7];
IOB tile[0, 0] coord[ 0,  1] Output1;BRAM4_WDATA[6];
IOB tile[0, 0] coord[ 0,  1] Input0;BRAM4_RDATA[7];
IOB tile[0, 0] coord[ 0,  1] Input1;BRAM4_RDATA[6];
IOB tile[0, 0] coord[ 0,  2] Output0;BRAM4_WCLKINV;
IOB tile[0, 0] coord[ 0,  2] Output1;BRAM4_RCLKINV;
IOB tile[0, 0] coord[ 0,  2] Input0;;
IOB tile[0, 0] coord[ 0,  2] Input1;;
IOB tile[0, 0] coord[ 0,  3] Output0;BRAM4_RATIO[0];
IOB tile[0, 0] coord[ 0,  3] Output1;BRAM4_RATIO[1];
IOB tile[0, 0] coord[ 0,  3] Input0;;
IOB tile[0, 0] coord[ 0,  3] Input1;;
IOB tile[0, 0] coord[ 0,  4] Output0;BRAM4_nREN;
IOB tile[0, 0] coord[ 0,  4] Output1;BRAM4_nRCLKEN;
IOB tile[0, 0] coord[ 0,  4] Input0;;
IOB tile[0, 0] coord[ 0,  4] Input1;;
IOB tile[0, 0] coord[ 0,  5] Output0;BRAM4_nWEN;
IOB tile[0, 0] coord[ 0,  5] Output1;BRAM4_nWCLKEN;
IOB tile[0, 0] coord[ 0,  5] Input0;;
IOB tile[0, 0] coord[ 0,  5] Input1;;
IOB tile[0, 0] coord[ 0,  6] Output0;[PIN 13] GPIO0_OUT;o_row[1]
IOB tile[0, 0] coord[ 0,  6] Output1;[PIN 13] GPIO0_OE;o_row_oe[1]
IOB tile[0, 0] coord[ 0,  6] Input0;[PIN 13] GPIO0_IN;
IOB tile[0, 0] coord[ 0,  6] Input1;;
IOB tile[0, 0] coord[ 0,  7] Output0;[PIN 14] GPIO1_OUT;o_row[3]
IOB tile[0, 0] coord[ 0,  7] Output1;[PIN 14] GPIO1_OE;o_row_oe[3]
IOB tile[0, 0] coord[ 0,  7] Input0;[PIN 14] GPIO1_IN;
IOB tile[0, 0] coord[ 0,  7] Input1;;
IOB tile[0, 0] coord[ 0,  8] Output0;[PIN 15] GPIO2_OUT;o_row[5]
IOB tile[0, 0] coord[ 0,  8] Output1;[PIN 15] GPIO2_OE;o_row_oe[5]
IOB tile[0, 0] coord[ 0,  8] Input0;[PIN 15] GPIO2_IN;
IOB tile[0, 0] coord[ 0,  8] Input1;;
IOB tile[0, 0] coord[ 0,  9] Output0;[PIN 16] GPIO3_OUT;o_row[7]
IOB tile[0, 0] coord[ 0,  9] Output1;[PIN 16] GPIO3_OE;o_row_oe[7]
IOB tile[0, 0] coord[ 0,  9] Input0;[PIN 16] GPIO3_IN;
IOB tile[0, 0] coord[ 0,  9] Input1;;
IOB tile[0, 0] coord[ 0, 10] Output0;[PIN 17] GPIO4_OUT;o_row[0]
IOB tile[0, 0] coord[ 0, 10] Output1;[PIN 17] GPIO4_OE;o_row_oe[0]
IOB tile[0, 0] coord[ 0, 10] Input0;[PIN 17] GPIO4_IN;
IOB tile[0, 0] coord[ 0, 10] Input1;;
IOB tile[0, 0] coord[ 0, 11] Output0;PLL_REF_CLK_SEL;
IOB tile[0, 0] coord[ 0, 11] Output1;PLL_BYPASS;
IOB tile[0, 0] coord[ 0, 11] Input0;;
IOB tile[0, 0] coord[ 0, 11] Input1;;
IOB tile[0, 0] coord[ 0, 12] Output0;PLL_FBDIV[0];
IOB tile[0, 0] coord[ 0, 12] Output1;PLL_FBDIV[1];
IOB tile[0, 0] coord[ 0, 12] Input0;;
IOB tile[0, 0] coord[ 0, 12] Input1;PLL_LOCK;
IOB tile[0, 0] coord[ 0, 13] Output0;PLL_FBDIV[2];
IOB tile[0, 0] coord[ 0, 13] Output1;PLL_FBDIV[3];
IOB tile[0, 0] coord[ 0, 13] Input0;;
IOB tile[0, 0] coord[ 0, 13] Input1;;
IOB tile[0, 0] coord[ 0, 14] Output0;PLL_FBDIV[4];
IOB tile[0, 0] coord[ 0, 14] Output1;PLL_FBDIV[5];
IOB tile[0, 0] coord[ 0, 14] Input0;;
IOB tile[0, 0] coord[ 0, 14] Input1;;
IOB tile[0, 0] coord[ 0, 15] Output0;PLL_FBDIV[6];
IOB tile[0, 0] coord[ 0, 15] Output1;PLL_FBDIV[7];
IOB tile[0, 0] coord[ 0, 15] Input0;;
IOB tile[0, 0] coord[ 0, 15] Input1;;
IOB tile[0, 0] coord[ 0, 16] Output0;PLL_FBDIV[8];
IOB tile[0, 0] coord[ 0, 16] Output1;PLL_FBDIV[9];
IOB tile[0, 0] coord[ 0, 16] Input0;;
IOB tile[0, 0] coord[ 0, 16] Input1;;
IOB tile[0, 0] coord[ 0, 17] Output0;PLL_FBDIV[10];
IOB tile[0, 0] coord[ 0, 17] Output1;PLL_FBDIV[11];
IOB tile[0, 0] coord[ 0, 17] Input0;;
IOB tile[0, 0] coord[ 0, 17] Input1;;
IOB tile[0, 0] coord[ 0, 18] Output0;PLL_EN;
IOB tile[0, 0] coord[ 0, 18] Output1;INT_FPGA_SLEEP;
IOB tile[0, 0] coord[ 0, 18] Input0;;
IOB tile[0, 0] coord[ 0, 18] Input1;;
IOB tile[0, 0] coord[ 0, 19] Output0;PLL_POSTDIV1[0];
IOB tile[0, 0] coord[ 0, 19] Output1;PLL_POSTDIV1[1];
IOB tile[0, 0] coord[ 0, 19] Input0;;
IOB tile[0, 0] coord[ 0, 19] Input1;;
IOB tile[0, 0] coord[ 0, 20] Output0;PLL_POSTDIV1[2];
IOB tile[0, 0] coord[ 0, 20] Output1;PLL_POSTDIV2[0];
IOB tile[0, 0] coord[ 0, 20] Input0;;
IOB tile[0, 0] coord[ 0, 20] Input1;;
IOB tile[0, 0] coord[ 0, 21] Output0;PLL_POSTDIV2[1];
IOB tile[0, 0] coord[ 0, 21] Output1;PLL_POSTDIV2[2];
IOB tile[0, 0] coord[ 0, 21] Input0;;
IOB tile[0, 0] coord[ 0, 21] Input1;;
IOB tile[0, 0] coord[ 0, 22] Output0;[PIN 18] GPIO5_OUT;o_row[2]
IOB tile[0, 0] coord[ 0, 22] Output1;[PIN 18] GPIO5_OE;o_row_oe[2]
IOB tile[0, 0] coord[ 0, 22] Input0;[PIN 18] GPIO5_IN;
IOB tile[0, 0] coord[ 0, 22] Input1;;
IOB tile[0, 0] coord[ 0, 23] Output0;[PIN 19] GPIO6_OUT;o_row[4]
IOB tile[0, 0] coord[ 0, 23] Output1;[PIN 19] GPIO6_OE;o_row_oe[4]
IOB tile[0, 0] coord[ 0, 23] Input0;[PIN 19] GPIO6_IN;
IOB tile[0, 0] coord[ 0, 23] Input1;;
IOB tile[0, 0] coord[ 0, 24] Output0;[PIN 20] GPIO7_OUT;o_row[6]
IOB tile[0, 0] coord[ 0, 24] Output1;[PIN 20] GPIO7_OE;o_row_oe[6]
IOB tile[0, 0] coord[ 0, 24] Input0;[PIN 20] GPIO7_IN;
IOB tile[0, 0] coord[ 0, 24] Input1;;
IOB tile[0, 0] coord[ 0, 25] Output0;OSC_EN;osc_en
IOB tile[0, 0] coord[ 0, 25] Output1;;
IOB tile[0, 0] coord[ 0, 25] Input0;OSC_READY;
IOB tile[0, 0] coord[ 0, 25] Input1;;
IOB tile[0, 0] coord[ 0, 26] Output0;BRAM0_nWEN;
IOB tile[0, 0] coord[ 0, 26] Output1;BRAM0_nWCLKEN;
IOB tile[0, 0] coord[ 0, 26] Input0;;
IOB tile[0, 0] coord[ 0, 26] Input1;;
IOB tile[0, 0] coord[ 0, 27] Output0;BRAM0_nREN;
IOB tile[0, 0] coord[ 0, 27] Output1;BRAM0_nRCLKEN;
IOB tile[0, 0] coord[ 0, 27] Input0;;
IOB tile[0, 0] coord[ 0, 27] Input1;;
IOB tile[0, 0] coord[ 0, 28] Output0;BRAM0_RATIO[0];
IOB tile[0, 0] coord[ 0, 28] Output1;BRAM0_RATIO[1];
IOB tile[0, 0] coord[ 0, 28] Input0;;
IOB tile[0, 0] coord[ 0, 28] Input1;;
IOB tile[0, 0] coord[ 0, 29] Output0;BRAM0_WCLKINV;
IOB tile[0, 0] coord[ 0, 29] Output1;BRAM0_RCLKINV;
IOB tile[0, 0] coord[ 0, 29] Input0;;
IOB tile[0, 0] coord[ 0, 29] Input1;;
IOB tile[0, 0] coord[ 0, 30] Output0;BRAM0_WDATA[7];
IOB tile[0, 0] coord[ 0, 30] Output1;BRAM0_WDATA[6];
IOB tile[0, 0] coord[ 0, 30] Input0;BRAM0_RDATA[7];
IOB tile[0, 0] coord[ 0, 30] Input1;BRAM0_RDATA[6];
IOB tile[0, 0] coord[ 0, 31] Output0;BRAM0_WDATA[5];
IOB tile[0, 0] coord[ 0, 31] Output1;BRAM0_WDATA[4];
IOB tile[0, 0] coord[ 0, 31] Input0;BRAM0_RDATA[5];
IOB tile[0, 0] coord[ 0, 31] Input1;BRAM0_RDATA[4];
IOB tile[0, 0] coord[ 1,  0] Output0;BRAM4_WDATA[1];
IOB tile[0, 0] coord[ 1,  0] Output1;BRAM4_WDATA[0];
IOB tile[0, 0] coord[ 1,  0] Input0;BRAM4_RDATA[1];
IOB tile[0, 0] coord[ 1,  0] Input1;BRAM4_RDATA[0];
IOB tile[0, 0] coord[ 1,  1] Output0;BRAM4_WDATA[3];
IOB tile[0, 0] coord[ 1,  1] Output1;BRAM4_WDATA[2];
IOB tile[0, 0] coord[ 1,  1] Input0;BRAM4_RDATA[3];
IOB tile[0, 0] coord[ 1,  1] Input1;BRAM4_RDATA[2];
IOB tile[0, 0] coord[ 1, 30] Output0;BRAM0_WDATA[3];
IOB tile[0, 0] coord[ 1, 30] Output1;BRAM0_WDATA[2];
IOB tile[0, 0] coord[ 1, 30] Input0;BRAM0_RDATA[3];
IOB tile[0, 0] coord[ 1, 30] Input1;BRAM0_RDATA[2];
IOB tile[0, 0] coord[ 1, 31] Output0;BRAM0_WDATA[1];
IOB tile[0, 0] coord[ 1, 31] Output1;BRAM0_WDATA[0];
IOB tile[0, 0] coord[ 1, 31] Input0;BRAM0_RDATA[1];
IOB tile[0, 0] coord[ 1, 31] Input1;BRAM0_RDATA[0];
IOB tile[0, 0] coord[ 2,  0] Output0;BRAM4_WADDR[6];
IOB tile[0, 0] coord[ 2,  0] Output1;BRAM4_WADDR[5];
IOB tile[0, 0] coord[ 2,  0] Input0;;
IOB tile[0, 0] coord[ 2,  0] Input1;;
IOB tile[0, 0] coord[ 2,  1] Output0;BRAM4_WADDR[8];
IOB tile[0, 0] coord[ 2,  1] Output1;BRAM4_WADDR[7];
IOB tile[0, 0] coord[ 2,  1] Input0;;
IOB tile[0, 0] coord[ 2,  1] Input1;;
IOB tile[0, 0] coord[ 2, 30] Output0;BRAM0_WADDR[8];
IOB tile[0, 0] coord[ 2, 30] Output1;BRAM0_WADDR[7];
IOB tile[0, 0] coord[ 2, 30] Input0;;
IOB tile[0, 0] coord[ 2, 30] Input1;;
IOB tile[0, 0] coord[ 2, 31] Output0;BRAM0_WADDR[6];
IOB tile[0, 0] coord[ 2, 31] Output1;BRAM0_WADDR[5];
IOB tile[0, 0] coord[ 2, 31] Input0;;
IOB tile[0, 0] coord[ 2, 31] Input1;;
IOB tile[0, 0] coord[ 3,  0] Output0;BRAM4_WADDR[2];
IOB tile[0, 0] coord[ 3,  0] Output1;BRAM4_WADDR[1];
IOB tile[0, 0] coord[ 3,  0] Input0;;
IOB tile[0, 0] coord[ 3,  0] Input1;;
IOB tile[0, 0] coord[ 3,  1] Output0;BRAM4_WADDR[4];
IOB tile[0, 0] coord[ 3,  1] Output1;BRAM4_WADDR[3];
IOB tile[0, 0] coord[ 3,  1] Input0;;
IOB tile[0, 0] coord[ 3,  1] Input1;;
IOB tile[0, 0] coord[ 3, 30] Output0;BRAM0_WADDR[4];
IOB tile[0, 0] coord[ 3, 30] Output1;BRAM0_WADDR[3];
IOB tile[0, 0] coord[ 3, 30] Input0;;
IOB tile[0, 0] coord[ 3, 30] Input1;;
IOB tile[0, 0] coord[ 3, 31] Output0;BRAM0_WADDR[2];
IOB tile[0, 0] coord[ 3, 31] Output1;BRAM0_WADDR[1];
IOB tile[0, 0] coord[ 3, 31] Input0;;
IOB tile[0, 0] coord[ 3, 31] Input1;;
IOB tile[0, 0] coord[ 4,  0] Output0;BRAM4_RADDR[7];
IOB tile[0, 0] coord[ 4,  0] Output1;BRAM4_RADDR[6];
IOB tile[0, 0] coord[ 4,  0] Input0;;
IOB tile[0, 0] coord[ 4,  0] Input1;;
IOB tile[0, 0] coord[ 4,  1] Output0;BRAM4_WADDR[0];
IOB tile[0, 0] coord[ 4,  1] Output1;BRAM4_RADDR[8];
IOB tile[0, 0] coord[ 4,  1] Input0;;
IOB tile[0, 0] coord[ 4,  1] Input1;;
IOB tile[0, 0] coord[ 4, 30] Output0;BRAM0_WADDR[0];
IOB tile[0, 0] coord[ 4, 30] Output1;BRAM0_RADDR[8];
IOB tile[0, 0] coord[ 4, 30] Input0;;
IOB tile[0, 0] coord[ 4, 30] Input1;;
IOB tile[0, 0] coord[ 4, 31] Output0;BRAM0_RADDR[7];
IOB tile[0, 0] coord[ 4, 31] Output1;BRAM0_RADDR[6];
IOB tile[0, 0] coord[ 4, 31] Input0;;
IOB tile[0, 0] coord[ 4, 31] Input1;;
IOB tile[0, 0] coord[ 5,  0] Output0;BRAM4_RADDR[3];
IOB tile[0, 0] coord[ 5,  0] Output1;BRAM4_RADDR[2];
IOB tile[0, 0] coord[ 5,  0] Input0;;
IOB tile[0, 0] coord[ 5,  0] Input1;;
IOB tile[0, 0] coord[ 5,  1] Output0;BRAM4_RADDR[5];
IOB tile[0, 0] coord[ 5,  1] Output1;BRAM4_RADDR[4];
IOB tile[0, 0] coord[ 5,  1] Input0;;
IOB tile[0, 0] coord[ 5,  1] Input1;;
IOB tile[0, 0] coord[ 5, 30] Output0;BRAM0_RADDR[5];
IOB tile[0, 0] coord[ 5, 30] Output1;BRAM0_RADDR[4];
IOB tile[0, 0] coord[ 5, 30] Input0;;
IOB tile[0, 0] coord[ 5, 30] Input1;;
IOB tile[0, 0] coord[ 5, 31] Output0;BRAM0_RADDR[3];
IOB tile[0, 0] coord[ 5, 31] Output1;BRAM0_RADDR[2];
IOB tile[0, 0] coord[ 5, 31] Input0;;
IOB tile[0, 0] coord[ 5, 31] Input1;;
IOB tile[0, 0] coord[ 6,  0] Output0;;
IOB tile[0, 0] coord[ 6,  0] Output1;;
IOB tile[0, 0] coord[ 6,  0] Input0;BRAM5_RDATA[7];
IOB tile[0, 0] coord[ 6,  0] Input1;BRAM5_RDATA[6];
IOB tile[0, 0] coord[ 6,  1] Output0;BRAM4_RADDR[1];
IOB tile[0, 0] coord[ 6,  1] Output1;BRAM4_RADDR[0];
IOB tile[0, 0] coord[ 6,  1] Input0;;
IOB tile[0, 0] coord[ 6,  1] Input1;;
IOB tile[0, 0] coord[ 6, 30] Output0;BRAM0_RADDR[1];
IOB tile[0, 0] coord[ 6, 30] Output1;BRAM0_RADDR[0];
IOB tile[0, 0] coord[ 6, 30] Input0;;
IOB tile[0, 0] coord[ 6, 30] Input1;;
IOB tile[0, 0] coord[ 6, 31] Output0;;
IOB tile[0, 0] coord[ 6, 31] Output1;;
IOB tile[0, 0] coord[ 6, 31] Input0;BRAM1_RDATA[7];
IOB tile[0, 0] coord[ 6, 31] Input1;BRAM1_RDATA[6];
IOB tile[0, 0] coord[ 7,  0] Output0;BRAM5_nREN;
IOB tile[0, 0] coord[ 7,  0] Output1;BRAM5_nRCLKEN;
IOB tile[0, 0] coord[ 7,  0] Input0;BRAM5_RDATA[5];
IOB tile[0, 0] coord[ 7,  0] Input1;BRAM5_RDATA[4];
IOB tile[0, 0] coord[ 7,  1] Output0;BRAM5_nWEN;
IOB tile[0, 0] coord[ 7,  1] Output1;BRAM5_nWCLKEN;
IOB tile[0, 0] coord[ 7,  1] Input0;;
IOB tile[0, 0] coord[ 7,  1] Input1;;
IOB tile[0, 0] coord[ 7, 30] Output0;BRAM1_nWEN;
IOB tile[0, 0] coord[ 7, 30] Output1;BRAM1_nWCLKEN;
IOB tile[0, 0] coord[ 7, 30] Input0;;
IOB tile[0, 0] coord[ 7, 30] Input1;;
IOB tile[0, 0] coord[ 7, 31] Output0;BRAM1_nREN;
IOB tile[0, 0] coord[ 7, 31] Output1;BRAM1_nRCLKEN;
IOB tile[0, 0] coord[ 7, 31] Input0;BRAM1_RDATA[5];
IOB tile[0, 0] coord[ 7, 31] Input1;BRAM1_RDATA[4];
IOB tile[0, 0] coord[ 8,  0] Output0;BRAM5_WCLKINV;
IOB tile[0, 0] coord[ 8,  0] Output1;BRAM5_RCLKINV;
IOB tile[0, 0] coord[ 8,  0] Input0;BRAM5_RDATA[1];
IOB tile[0, 0] coord[ 8,  0] Input1;BRAM5_RDATA[0];
IOB tile[0, 0] coord[ 8,  1] Output0;BRAM5_RATIO[1];
IOB tile[0, 0] coord[ 8,  1] Output1;BRAM5_RATIO[0];
IOB tile[0, 0] coord[ 8,  1] Input0;BRAM5_RDATA[3];
IOB tile[0, 0] coord[ 8,  1] Input1;BRAM5_RDATA[2];
IOB tile[0, 0] coord[ 8, 30] Output0;BRAM1_RATIO[1];
IOB tile[0, 0] coord[ 8, 30] Output1;BRAM1_RATIO[0];
IOB tile[0, 0] coord[ 8, 30] Input0;BRAM1_RDATA[3];
IOB tile[0, 0] coord[ 8, 30] Input1;BRAM1_RDATA[2];
IOB tile[0, 0] coord[ 8, 31] Output0;BRAM1_WCLKINV;
IOB tile[0, 0] coord[ 8, 31] Output1;BRAM1_RCLKINV;
IOB tile[0, 0] coord[ 8, 31] Input0;BRAM1_RDATA[1];
IOB tile[0, 0] coord[ 8, 31] Input1;BRAM1_RDATA[0];
IOB tile[0, 0] coord[ 9,  0] Output0;BRAM5_WDATA[5];
IOB tile[0, 0] coord[ 9,  0] Output1;BRAM5_WDATA[4];
IOB tile[0, 0] coord[ 9,  0] Input0;;
IOB tile[0, 0] coord[ 9,  0] Input1;;
IOB tile[0, 0] coord[ 9,  1] Output0;BRAM5_WDATA[7];
IOB tile[0, 0] coord[ 9,  1] Output1;BRAM5_WDATA[6];
IOB tile[0, 0] coord[ 9,  1] Input0;;
IOB tile[0, 0] coord[ 9,  1] Input1;;
IOB tile[0, 0] coord[ 9, 30] Output0;BRAM1_WDATA[7];
IOB tile[0, 0] coord[ 9, 30] Output1;BRAM1_WDATA[6];
IOB tile[0, 0] coord[ 9, 30] Input0;;
IOB tile[0, 0] coord[ 9, 30] Input1;;
IOB tile[0, 0] coord[ 9, 31] Output0;BRAM1_WDATA[5];
IOB tile[0, 0] coord[ 9, 31] Output1;BRAM1_WDATA[4];
IOB tile[0, 0] coord[ 9, 31] Input0;;
IOB tile[0, 0] coord[ 9, 31] Input1;;
IOB tile[0, 0] coord[10,  0] Output0;BRAM5_WDATA[1];
IOB tile[0, 0] coord[10,  0] Output1;BRAM5_WDATA[0];
IOB tile[0, 0] coord[10,  0] Input0;;
IOB tile[0, 0] coord[10,  0] Input1;;
IOB tile[0, 0] coord[10,  1] Output0;BRAM5_WDATA[3];
IOB tile[0, 0] coord[10,  1] Output1;BRAM5_WDATA[2];
IOB tile[0, 0] coord[10,  1] Input0;;
IOB tile[0, 0] coord[10,  1] Input1;;
IOB tile[0, 0] coord[10, 30] Output0;BRAM1_WDATA[3];
IOB tile[0, 0] coord[10, 30] Output1;BRAM1_WDATA[2];
IOB tile[0, 0] coord[10, 30] Input0;;
IOB tile[0, 0] coord[10, 30] Input1;;
IOB tile[0, 0] coord[10, 31] Output0;BRAM1_WDATA[1];
IOB tile[0, 0] coord[10, 31] Output1;BRAM1_WDATA[0];
IOB tile[0, 0] coord[10, 31] Input0;;
IOB tile[0, 0] coord[10, 31] Input1;;
IOB tile[0, 0] coord[11,  0] Output0;BRAM5_WADDR[6];
IOB tile[0, 0] coord[11,  0] Output1;BRAM5_WADDR[5];
IOB tile[0, 0] coord[11,  0] Input0;;
IOB tile[0, 0] coord[11,  0] Input1;;
IOB tile[0, 0] coord[11,  1] Output0;BRAM5_WADDR[8];
IOB tile[0, 0] coord[11,  1] Output1;BRAM5_WADDR[7];
IOB tile[0, 0] coord[11,  1] Input0;;
IOB tile[0, 0] coord[11,  1] Input1;;
IOB tile[0, 0] coord[11, 30] Output0;BRAM1_WADDR[8];
IOB tile[0, 0] coord[11, 30] Output1;BRAM1_WADDR[7];
IOB tile[0, 0] coord[11, 30] Input0;;
IOB tile[0, 0] coord[11, 30] Input1;;
IOB tile[0, 0] coord[11, 31] Output0;BRAM1_WADDR[6];
IOB tile[0, 0] coord[11, 31] Output1;BRAM1_WADDR[5];
IOB tile[0, 0] coord[11, 31] Input0;;
IOB tile[0, 0] coord[11, 31] Input1;;
IOB tile[0, 0] coord[12,  0] Output0;BRAM5_WADDR[2];
IOB tile[0, 0] coord[12,  0] Output1;BRAM5_WADDR[1];
IOB tile[0, 0] coord[12,  0] Input0;;
IOB tile[0, 0] coord[12,  0] Input1;;
IOB tile[0, 0] coord[12,  1] Output0;BRAM5_WADDR[4];
IOB tile[0, 0] coord[12,  1] Output1;BRAM5_WADDR[3];
IOB tile[0, 0] coord[12,  1] Input0;;
IOB tile[0, 0] coord[12,  1] Input1;;
